,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
317,coquimbo,CL,1601993598.0,-29.95,-71.34,55.4,82.0,75.0,10.29
318,codrington,AU,1601993598.0,-38.27,141.97,41.97,84.0,10.0,5.28
319,omboue,GA,1601993598.0,-1.57,9.26,81.32,74.0,100.0,11.86
320,lagoa,PT,1601993598.0,39.05,-27.98,69.15,80.0,8.0,10.94
321,umba,RU,1601993598.0,66.69,34.34,45.07,85.0,100.0,9.91
323,japura,ID,1601993598.0,-0.32,102.35,78.06,80.0,25.0,1.05
324,sungairaya,ID,1601993598.0,0.7,108.9,80.1,86.0,100.0,6.15
325,marshall,US,1601993525.0,34.38,-86.33,62.01,82.0,1.0,3.0
326,atar,MR,1601993599.0,20.52,-13.05,95.56,32.0,92.0,3.83
327,uribia,CO,1601993599.0,11.71,-72.27,84.52,70.0,99.0,2.28
328,ashikaga,JP,1601993599.0,36.33,139.45,66.99,76.0,93.0,5.01
329,bubaque,GW,1601993599.0,11.28,-15.83,81.39,72.0,67.0,3.11
330,balaipungut,ID,1601993599.0,1.05,101.28,75.2,94.0,40.0,1.14
331,ixtapa,MX,1601993599.0,20.7,-105.2,78.01,88.0,5.0,4.7
332,nanortalik,GL,1601993599.0,60.14,-45.24,31.86,87.0,0.0,14.67
333,husavik,IS,1601993600.0,66.04,-17.34,42.8,93.0,40.0,6.93
334,makubetsu,JP,1601993600.0,45.37,141.82,54.07,71.0,71.0,0.65
335,bageshwar,IN,1601993600.0,29.85,79.77,69.01,61.0,0.0,2.84
336,vardo,NO,1601993600.0,70.37,31.11,48.2,81.0,75.0,14.99
337,severo-yeniseyskiy,RU,1601993600.0,60.37,93.04,24.96,95.0,44.0,10.11
338,reconquista,AR,1601993600.0,-29.15,-59.65,65.62,59.0,7.0,7.02
339,phibun mangsahan,TH,1601993600.0,15.24,105.23,80.6,83.0,20.0,4.7
340,rio gallegos,AR,1601993548.0,-51.62,-69.22,48.2,39.0,75.0,27.51
341,segou,ML,1601993601.0,13.43,-6.22,99.54,29.0,3.0,9.8
342,saint-augustin,CA,1601993601.0,51.23,-58.65,47.7,91.0,100.0,19.91
343,khandyga,RU,1601993528.0,62.67,135.6,29.3,98.0,87.0,4.16
344,bolgatanga,GH,1601993601.0,10.79,-0.85,93.18,48.0,42.0,3.76
346,kavieng,PG,1601993601.0,-2.57,150.8,82.29,75.0,24.0,10.47
347,fort frances,CA,1601993401.0,48.6,-93.4,42.8,87.0,90.0,5.82
348,port hedland,AU,1601993458.0,-20.32,118.57,68.0,15.0,0.0,9.17
349,chuy,UY,1601993601.0,-33.7,-53.46,60.8,71.0,92.0,8.55
350,anito,PH,1601993602.0,12.45,125.29,80.38,87.0,99.0,5.7
351,moron,AR,1601993602.0,-34.65,-58.62,64.99,72.0,40.0,5.82
353,pasaco,GT,1601993602.0,13.98,-90.21,77.0,83.0,29.0,4.74
354,rosarito,MX,1601993602.0,32.33,-117.03,66.2,41.0,1.0,4.7
355,vestmanna,FO,1601993602.0,62.16,-7.17,53.6,81.0,99.0,16.11
356,ihosy,MG,1601993602.0,-22.4,46.12,65.08,66.0,53.0,12.8
357,sungaipenuh,ID,1601993602.0,-2.08,101.38,66.4,96.0,70.0,1.59
358,rawson,AR,1601993602.0,-43.3,-65.1,59.4,33.0,26.0,16.26
359,saint-pierre,RE,1601993603.0,-21.34,55.48,73.4,73.0,90.0,3.36
360,gat,IL,1601993603.0,31.61,34.76,86.0,46.0,0.0,3.0
361,puerto cabezas,NI,1601993603.0,14.04,-83.39,77.0,94.0,40.0,4.7
363,belaya gora,RU,1601993603.0,68.53,146.42,27.0,84.0,60.0,9.66
364,baltasi,RU,1601993603.0,56.35,50.21,51.51,68.0,100.0,10.96
365,viedma,AR,1601993423.0,-40.81,-63.0,64.0,33.0,0.0,5.01
366,shitanjing,CN,1601993603.0,39.23,106.34,52.09,42.0,98.0,4.5
367,svetlaya,RU,1601993603.0,46.54,138.33,48.24,70.0,20.0,6.91
368,novodugino,RU,1601993603.0,55.63,34.28,59.38,53.0,100.0,11.68
369,meulaboh,ID,1601993604.0,4.14,96.13,78.49,83.0,100.0,3.0
370,belmonte,BR,1601993604.0,-15.86,-38.88,82.4,65.0,40.0,16.11
371,alofi,NU,1601993604.0,-19.06,-169.92,75.2,78.0,96.0,12.75
372,paamiut,GL,1601993604.0,61.99,-49.67,28.62,80.0,0.0,8.55
373,wattegama,LK,1601993604.0,6.8,81.48,84.2,79.0,40.0,13.87
374,lakes entrance,AU,1601993604.0,-37.88,147.98,55.0,96.0,100.0,9.6
375,norman wells,CA,1601993604.0,65.28,-126.83,41.0,93.0,75.0,13.87
